Schulnummer,Schulname,Schulform,Adresse,PLZ,Gemeinde,lat,lon,source
105867,"Wuppertal, GG Am Nützenberg",Grundschule,"Nützenberger Str., Nützenberger Str. 242",42115,Wuppertal,51.25101321390514,7.114464202848688,ogc-api-nrw
105879,"Wuppertal, GG Marper Schulweg",Grundschule,"Marper Schulweg, Marper Schulweg 6",42287,Wuppertal,51.24921233002818,7.193566071991687,ogc-api-nrw
105880,"Wuppertal, GG Markomannenstr.",Grundschule,"Markomannenstr., Markomannenstr. 39",42105,Wuppertal,51.26338480358146,7.143529200817611,ogc-api-nrw
105892,"Wuppertal, GG Marienstr.",Grundschule,"Marienstr., Marienstr. 64",42105,Wuppertal,51.258759191082035,7.135975936400009,ogc-api-nrw
105909,"Wuppertal, GG Kruppstr.",Grundschule,"Kruppstr., Kruppstr. 139",42113,Wuppertal,51.269639937974276,7.123536306072506,ogc-api-nrw
105910,"Wuppertal, GG Königshöher Weg",Grundschule,"Königshöher Weg, Königshöher Weg 7",42117,Wuppertal,51.245666138637624,7.128710662032598,ogc-api-nrw
105922,"Wuppertal, GG (Verb.) Fritz-Harkort",Grundschule,"Am Timpen, Am Timpen 47",42389,Wuppertal,51.273694850873504,7.250026314023422,ogc-api-nrw
105946,"Wuppertal, GG Meyerstrasse",Grundschule,"Meyerstr., Meyerstr. 30-34",42289,Wuppertal,51.26992016219862,7.220952992394481,ogc-api-nrw
105958,"Wuppertal, GG Hesselnberg",Grundschule,"Hesselnberg, Hesselnberg 42",42285,Wuppertal,51.25481390561771,7.166890774699246,ogc-api-nrw
105971,"Wuppertal, GG Germanenstr.",Grundschule,"Germanenstr., Germanenstr. 36-38",42277,Wuppertal,51.27890031572429,7.208317667262843,ogc-api-nrw
105983,"Wuppertal, GG Peterstraße",Grundschule,"Peterstr., Peterstr. 26-28",42287,Wuppertal,51.26380939335647,7.197150650443595,ogc-api-nrw
105995,"Wuppertal, GG Hermann-Herberts-Schule",Grundschule,"Cronenfelder Str., Cronenfelder Str. 26",42349,Wuppertal,51.21425710544677,7.1504604979345245,ogc-api-nrw
106008,"Wuppertal, GG Haselrain",Grundschule,"Haselrain, Haselrain 38",42279,Wuppertal,51.29822520967956,7.2047249773365944,ogc-api-nrw
106010,"Wuppertal, GG Donarstr.",Grundschule,"Donarstr., Donarstr. 2",42117,Wuppertal,51.24401628083803,7.108875865267534,ogc-api-nrw
106021,"Wuppertal, GG Distelbeck",Grundschule,"Distelbeck, Distelbeck 9",42119,Wuppertal,51.25270760085551,7.152471828027838,ogc-api-nrw
106033,"Wuppertal, GG Uellendahl",Grundschule,"Kurt-Schumacher-Str., Kurt-Schumacher-Str. 130",42111,Wuppertal,51.2863913905768,7.165346688044923,ogc-api-nrw
106069,"Wuppertal, GG Hütterbusch",Grundschule,"Am Hofe, Am Hofe 1",42349,Wuppertal,51.20956826043157,7.128757100631489,ogc-api-nrw
106070,"Wuppertal, GG Hainstr.",Grundschule,"Hainstr., Hainstr. 192",42109,Wuppertal,51.27750447134018,7.129438741448787,ogc-api-nrw
106082,"Dinslaken, GG Am Weyer",Grundschule,"Hügelstr., Hügelstr. 19",46539,Dinslaken,51.55492793374576,6.769862165510925,ogc-api-nrw
106094,"Dinslaken, GG Dorf",Grundschule,"Fichtenstr., Fichtenstr. 65",46539,Dinslaken,51.5684017718249,6.7704437106740825,ogc-api-nrw
106100,"Dinslaken, GG Gartenschule",Grundschule,"Gartenstr., Gartenstr. 17",46535,Dinslaken,51.560082450272084,6.732876069185313,ogc-api-nrw
106112,"Dinslaken, GG Klaraschule",Grundschule,"Klarastr., Klarastr. 31",46537,Dinslaken,51.57265164876811,6.7481113956423835,ogc-api-nrw
106124,"Dinslaken, GG Lohberg",Grundschule,"Lohbergstr., Lohbergstr. 70",46537,Dinslaken,51.583265300203216,6.75429900574544,ogc-api-nrw
106136,"Dinslaken, GG Averbruchschule",Grundschule,"Rosenstr., Rosenstr. 47",46535,Dinslaken,51.5506916779703,6.7439744346247394,ogc-api-nrw
106197,"Dinslaken, GG Moltkeschule",Grundschule,"Riemenschneiderstr., Riemenschneiderstr. 12",46539,Dinslaken,51.55959017275974,6.769114621887315,ogc-api-nrw
106203,"Dinslaken, GG Bruchschule",Grundschule,"Hedwigstr., Hedwigstr. 122",46537,Dinslaken,51.57888293843132,6.723828309743828,ogc-api-nrw
106215,"Dinslaken, GG Hagenschule",Grundschule,"Hagenstr., Hagenstr. 139",46535,Dinslaken,51.56732919788432,6.723496467541808,ogc-api-nrw
106239,"Duisburg, GG Schulstr.",Grundschule,"Schulstr., Schulstr. 7",47179,Duisburg,51.52300935954228,6.741580611823102,ogc-api-nrw
106252,"Duisburg, GG Sternstr.",Grundschule,"Sternstr., Sternstr. 76",47179,Duisburg,51.52504721039536,6.748875667922092,ogc-api-nrw
106264,"Duisburg, GG Vennbruchschule",Grundschule,"Vennbruchstr., Vennbruchstr. 1",47178,Duisburg,51.53663205703113,6.7340130581091024,ogc-api-nrw
106276,"Duisburg, GG Unter den Kastanien",Grundschule,"Unter den Kastanien, Unter den Kastanien 28",47179,Duisburg,51.53016714498814,6.767367198950905,ogc-api-nrw
106288,"Duisburg, KG Don-Bosco",Grundschule,"Karlstr., Karlstr. 35",47178,Duisburg,51.541895248629075,6.722516514410517,ogc-api-nrw
106318,"Duisburg, GG Theißelmannschule",Grundschule,"Theißelmannstr., Theißelmannstr. 33",47178,Duisburg,51.53206331297148,6.7108519650325915,ogc-api-nrw
106331,"Voerde, GG Astrid Lindgren-Schule",Grundschule,"Weseler Str., Weseler Str. 18",46562,Voerde (Niederrhein),51.612121061785494,6.6164441641672616,ogc-api-nrw
106343,"Voerde, GG Otto-Willmann-Schule",Grundschule,"Sternbuschweg, Sternbuschweg 36",46562,Voerde (Niederrhein),51.59509908690024,6.695337348782276,ogc-api-nrw
106355,"Voerde, GG Friedrichsfeld",Grundschule,"Hugo-Mueller-Str., Hugo-Mueller-Str. 23",46562,Voerde (Niederrhein),51.62702837235474,6.667738884496968,ogc-api-nrw
106367,"Voerde, GG Regenbogenschule Möllen",Grundschule,"Auf dem Bünder, Auf dem Bünder 25",46562,Voerde (Niederrhein),51.581465602555,6.6912350197869355,ogc-api-nrw
106392,"Dorsten, GG (Verb.) Wilhelm-Lehmbruck",Grundschule,"Gahlener Str., Gahlener Str. 284",46282,Dorsten,51.65705054797434,6.9094521057405,ogc-api-nrw
106409,"Hünxe, GG Karl-Vogels-Schule",Grundschule,"In den Elsen, In den Elsen 34",46569,Hünxe,51.63774071901088,6.7696017039571945,ogc-api-nrw
106410,"Hünxe, GG Am Dicken Stein",Grundschule,"Waldweg, Waldweg 55",46569,Hünxe,51.603078551875605,6.749205387490026,ogc-api-nrw
106434,"Haan, KG Don-Bosco",Grundschule,"Thienhausener Str., Thienhausener Str. 24",42781,Haan,51.18788880807327,7.005417771989361,ogc-api-nrw
106446,"Haan, GG Mittelhaan",Grundschule,"Dieker Str., Dieker Str. 69",42781,Haan,51.19468273617088,7.008287515323204,ogc-api-nrw
106458,"Haan, GG Unterhaan",Grundschule,"Steinkulle, Steinkulle 24",42781,Haan,51.18481306579973,6.997522688584453,ogc-api-nrw
106471,"Heiligenhaus, GG Regenbogen",Grundschule,"Moselstr., Moselstr. 51",42579,Heiligenhaus,51.332434462101524,6.940807305908883,ogc-api-nrw
106483,"Heiligenhaus, KG St.Suitbertus-Schule",Grundschule,"Am Sportfeld, Am Sportfeld 5",42579,Heiligenhaus,51.32885337045996,6.958681706420171,ogc-api-nrw
106495,"Heiligenhaus, EG Adolf-Clarenbach",Grundschule,"Pestalozzistr., Pestalozzistr. 16-18",42579,Heiligenhaus,51.343625631333886,6.945618650428542,ogc-api-nrw
106501,"Heiligenhaus, GG Gerhard-Tersteegen",Grundschule,"Velberter Str., Velberter Str. 106",42579,Heiligenhaus,51.32905421323603,7.001077145469843,ogc-api-nrw
106513,"Heiligenhaus, GG Schulstr.",Grundschule,"Schulstr., Schulstr. 1",42579,Heiligenhaus,51.32475213740777,6.965380383629886,ogc-api-nrw
106525,"Hilden, GG Wilhelm-Busch",Grundschule,"Zur Verlach, Zur Verlach 42",40723,Hilden,51.15392006213036,6.947178837884291,ogc-api-nrw
106550,"Hilden, GG Wilhelm-Hüls-Schule",Grundschule,"Augustastr., Augustastr. 29",40721,Hilden,51.17283072239625,6.931717835526618,ogc-api-nrw
106562,"Hilden, KG Astrid-Lindgren",Grundschule,"Zur Verlach, Zur Verlach 42",40723,Hilden,51.15392006213036,6.947178837884291,ogc-api-nrw
106574,"Hilden, GG Beethovenstraße",Grundschule,"Beethovenstr., Beethovenstr. 32-40",40724,Hilden,51.179959413228545,6.932557723460964,ogc-api-nrw
106604,"Hilden, GG (Verb.) Schulstraße",Grundschule,"Schulstr., Schulstr. 40-42",40721,Hilden,51.16628352075124,6.933755929111315,ogc-api-nrw
106616,"Hilden, GG Am Elbsee",Grundschule,"Schalbruch, Schalbruch 33",40721,Hilden,51.18058764017846,6.918793167497148,ogc-api-nrw
106630,"Essen, GG Schmachtenberg",Grundschule,"Schmachtenbergstr., Schmachtenbergstr. 62",45219,Essen,51.36892858378663,6.954126649919104,ogc-api-nrw
106641,"Essen, GG an der Ruhr",Grundschule,"Gustavstr., Gustavstr. 26",45219,Essen,51.364105270300264,6.944199312445071,ogc-api-nrw
106653,"Velbert, GG (Verb.) Max & Moritz",Grundschule,"Hüserstr., Hüserstr. 40",42555,Velbert,51.364176648026316,7.138291994993817,ogc-api-nrw
106665,"Velbert, GG Wilhelm-Ophüls-Schule",Grundschule,"Frohnstr., Frohnstr. 16",42555,Velbert,51.35527279773701,7.119665388820401,ogc-api-nrw
106677,"Velbert, GG Kuhstr.",Grundschule,"Kuhstr., Kuhstr. 46",42555,Velbert,51.34828464163289,7.114594986038975,ogc-api-nrw
